,T,y0,network_architectures,activations,learning_rates,collocations,epochs,regularization,reg_epochs,reg_coeff,reg_decay,mean_loss,loss_successes_percent
0,7.5,0.001,"(4, 50)",tanh,0.001,1024,50000,no_reg,1,1,1,0.09625097,0.0
0,7.5,0.001,"(4, 50)",tanh,0.001,1024,50000,no_reg,1,10,1,0.09602324,0.0
0,7.5,0.001,"(4, 50)",tanh,0.001,1024,50000,no_reg,1,100000,1,0.09612823,0.0
0,7.5,0.001,"(4, 50)",tanh,0.001,1024,50000,unstable_fp,1,1,1,0.09587494,0.0
0,7.5,0.001,"(4, 50)",tanh,0.001,1024,50000,unstable_fp,1,10,1,0.09578615,0.0
0,7.5,0.001,"(4, 50)",tanh,0.001,1024,50000,unstable_fp,1,100000,1,0.21864362,0.3
0,7.5,0.001,"(4, 50)",tanh,0.001,1024,50000,reg_derivative,1,1,1,0.40986234,0.0
0,7.5,0.001,"(4, 50)",tanh,0.001,1024,50000,reg_derivative,1,10,1,0.68770134,0.0
0,7.5,0.001,"(4, 50)",tanh,0.001,1024,50000,reg_derivative,1,100000,1,1.6471459,0.0
0,7.5,0.001,"(4, 50)",tanh,0.001,1024,50000,reg_derivative_unstable_fp,1,1,1,0.096803665,0.0
0,7.5,0.001,"(4, 50)",tanh,0.001,1024,50000,reg_derivative_unstable_fp,1,10,1,0.09752009,0.0
0,7.5,0.001,"(4, 50)",tanh,0.001,1024,50000,reg_derivative_unstable_fp,1,100000,1,0.43996945,0.1
0,7.5,0.01,"(4, 50)",tanh,0.001,1024,50000,no_reg,1,1,1,0.34674397,0.1
0,7.5,0.01,"(4, 50)",tanh,0.001,1024,50000,no_reg,1,10,1,0.38528904,0.0
0,7.5,0.01,"(4, 50)",tanh,0.001,1024,50000,no_reg,1,100000,1,0.38529402,0.0
0,7.5,0.01,"(4, 50)",tanh,0.001,1024,50000,unstable_fp,1,1,1,0.8289927,0.2
0,7.5,0.01,"(4, 50)",tanh,0.001,1024,50000,unstable_fp,1,10,1,0.5903577,0.0
0,7.5,0.01,"(4, 50)",tanh,0.001,1024,50000,unstable_fp,1,100000,1,0.8778354,0.5
0,7.5,0.01,"(4, 50)",tanh,0.001,1024,50000,reg_derivative,1,1,1,0.8446695,0.0
0,7.5,0.01,"(4, 50)",tanh,0.001,1024,50000,reg_derivative,1,10,1,1.3384334,0.0
0,7.5,0.01,"(4, 50)",tanh,0.001,1024,50000,reg_derivative,1,100000,1,1.2429688,0.0
0,7.5,0.01,"(4, 50)",tanh,0.001,1024,50000,reg_derivative_unstable_fp,1,1,1,0.4755447,0.3
0,7.5,0.01,"(4, 50)",tanh,0.001,1024,50000,reg_derivative_unstable_fp,1,10,1,0.34494984,0.1
0,7.5,0.01,"(4, 50)",tanh,0.001,1024,50000,reg_derivative_unstable_fp,1,100000,1,0.96079504,0.4
0,7.5,0.1,"(4, 50)",tanh,0.001,1024,50000,no_reg,1,1,1,0.6842288,0.0
0,7.5,0.1,"(4, 50)",tanh,0.001,1024,50000,no_reg,1,10,1,0.5469071,0.2
0,7.5,0.1,"(4, 50)",tanh,0.001,1024,50000,no_reg,1,100000,1,0.68402207,0.0
0,7.5,0.1,"(4, 50)",tanh,0.001,1024,50000,unstable_fp,1,1,1,1.1663278,0.5
